Date,Market,Market_return,BRK-A_Price,BRK-A_return,Market_Value,BRK-A_value
1980/3/1,102.089996,,260,,1,1
1980/4/1,106.290001,0.041140221,275,0.057692308,1.041140221,1.057692308
1980/5/1,111.239998,0.046570674,320,0.163636364,1.089626823,1.230769231
1980/6/1,114.239998,0.026968717,305,-0.046875,1.11901266,1.173076923
1980/7/1,121.669998,0.065038517,340,0.114754098,1.191791584,1.307692308
1980/8/1,122.379997,0.005835448,380,0.117647059,1.198746222,1.461538462
1980/9/1,125.459999,0.025167528,385,0.013157895,1.228915701,1.480769231
1980/10/1,127.470001,0.016021059,420,0.090909091,1.248604232,1.615384615
1980/11/1,140.520004,0.102377053,430,0.023809524,1.376432653,1.653846154
1980/12/1,135.759995,-0.033874245,425,-0.011627907,1.329807036,1.634615385
1981/1/1,129.550003,-0.045742429,430,0.011764706,1.268978432,1.653846154
1981/2/1,131.270004,0.013276735,485,0.127906977,1.285826321,1.865384615
1981/3/1,136,0.036032573,480,-0.010309278,1.332157952,1.846153846
1981/4/1,132.809998,-0.023455897,515,0.072916667,1.300910992,1.980769231
1981/5/1,132.589996,-0.001656517,520,0.009708738,1.298756011,2
1981/6/1,131.210007,-0.010407942,510,-0.019230769,1.285238634,1.961538462
1981/7/1,130.919998,-0.002210266,485,-0.049019608,1.282397915,1.865384615
1981/8/1,122.790001,-0.06209897,500,0.030927835,1.202762326,1.923076923
1981/9/1,116.18,-0.053831753,460,-0.08,1.138015521,1.769230769
1981/10/1,121.889999,0.049147865,505,0.097826087,1.193946555,1.942307692
1981/11/1,126.349998,0.03659036,575,0.138613861,1.23763349,2.211538462
1981/12/1,122.550003,-0.030075149,560,-0.026086957,1.200411478,2.153846154
1982/1/1,120.400002,-0.017543867,510,-0.089285714,1.179351618,1.961538462
1982/2/1,113.110001,-0.06054818,515,0.009803922,1.107944024,1.980769231
1982/3/1,111.959999,-0.010167112,480,-0.067961165,1.096679434,1.846153846
1982/4/1,116.440002,0.040014318,510,0.0625,1.140562313,1.961538462
1982/5/1,111.879997,-0.039161842,505,-0.009803922,1.095895792,1.942307692
1982/6/1,109.610001,-0.020289561,495,-0.01980198,1.073660548,1.903846154
1982/7/1,107.089996,-0.022990648,475,-0.04040404,1.048976395,1.826923077
1982/8/1,119.510002,0.115977276,485,0.021052632,1.17063382,1.865384615
1982/9/1,120.419998,0.007614392,550,0.134020619,1.179547485,2.115384615
1982/10/1,133.720001,0.110446796,610,0.109090909,1.309824726,2.346153846
1982/11/1,138.529999,0.03597067,690,0.131147541,1.356939998,2.653846154
1982/12/1,140.639999,0.015231358,775,0.123188406,1.377608037,2.980769231
1983/1/1,145.300003,0.033134272,765,-0.012903226,1.423254077,2.942307692
1983/2/1,148.059998,0.018995148,830,0.08496732,1.450288998,3.192307692
1983/3/1,152.960007,0.033094753,965,0.162650602,1.498285954,3.711538462
1983/4/1,164.429993,0.07498683,975,0.010362694,1.610637667,3.75
1983/5/1,162.389999,-0.012406459,985,0.01025641,1.590655357,3.788461538
1983/6/1,167.639999,0.032329577,910,-0.076142132,1.642080572,3.5
1983/7/1,162.559998,-0.030303036,950,0.043956044,1.592320544,3.653846154
1983/8/1,164.399994,0.011318873,1020,0.073684211,1.610343819,3.923076923
1983/9/1,166.070007,0.01015823,1240,0.215686275,1.626702062,4.769230769
1983/10/1,163.550003,-0.015174348,1310,0.056451613,1.60201792,5.038461538
1983/11/1,166.399994,0.017425808,1350,0.030534351,1.629934377,5.192307692
1983/12/1,164.929993,-0.008834141,1310,-0.02962963,1.615535307,5.038461538
1984/1/1,163.410004,-0.009215965,1325,0.011450382,1.60064659,5.096153846
1984/2/1,157.059998,-0.038859347,1280,-0.033962264,1.538446509,4.923076923
1984/3/1,159.179993,0.013497995,1240,-0.03125,1.559212452,4.769230769
1984/4/1,160.050003,0.005465574,1250,0.008064516,1.567734443,4.807692308
1984/5/1,150.550003,-0.05935645,1290,0.032,1.474679292,4.961538462
1984/6/1,153.179993,0.017469213,1260,-0.023255814,1.500440778,4.846153846
1984/7/1,150.660004,-0.016451163,1240,-0.015873016,1.475756782,4.769230769
1984/8/1,166.679993,0.106332063,1290,0.040322581,1.632677045,4.961538462
1984/9/1,166.100006,-0.003479644,1305,0.011627907,1.626995911,5.019230769
1984/10/1,166.089996,-6.03E-05,1300,-0.003831418,1.62689786,5
1984/11/1,163.580002,-0.015112253,1280,-0.015384615,1.602311768,4.923076923
1984/12/1,167.240005,0.022374391,1275,-0.00390625,1.638162519,4.903846154
1985/1/1,179.630005,0.074085145,1395,0.094117647,1.759526026,5.365384615
1985/2/1,181.179993,0.008628781,1490,0.068100358,1.774708591,5.730769231
1985/3/1,180.660004,-0.002870013,1815,0.218120805,1.769615154,6.980769231
1985/4/1,179.830002,-0.004594276,1850,0.019283747,1.761485053,7.115384615
1985/5/1,189.550003,0.054051053,1860,0.005405405,1.856695175,7.153846154
1985/6/1,191.850006,0.012134017,2150,0.155913978,1.879224346,8.269230769
1985/7/1,190.919998,-0.004847579,2110,-0.018604651,1.870114658,8.115384615
1985/8/1,188.630005,-0.011994516,2040,-0.033175355,1.847683538,7.846153846
1985/9/1,182.080002,-0.034724078,2120,0.039215686,1.783524431,8.153846154
1985/10/1,189.820007,0.042508814,2620,0.235849057,1.85933994,10.07692308
1985/11/1,202.169998,0.065061588,2625,0.001908397,1.980311548,10.09615385
1985/12/1,211.279999,0.045061093,2470,-0.059047619,2.06954655,9.5
1986/1/1,211.779999,0.002366528,2255,-0.087044534,2.074444189,8.673076923
1986/2/1,226.919998,0.071489277,2760,0.223946785,2.222744705,10.61538462
1986/3/1,238.899994,0.052793919,3120,0.130434783,2.340092109,12
1986/4/1,235.520004,-0.014148138,2910,-0.067307692,2.306984163,11.19230769
1986/5/1,247.350006,0.050229288,2860,-0.017182131,2.422862334,11
1986/6/1,250.839996,0.014109521,2975,0.04020979,2.45704776,11.44230769
1986/7/1,236.119995,-0.058682831,2825,-0.050420168,2.312861243,10.86538462
1986/8/1,252.929993,0.071192607,2900,0.026548673,2.477519864,11.15384615
1986/9/1,231.320007,-0.085438606,2625,-0.094827586,2.265844021,10.09615385
1986/10/1,243.979996,0.05472933,2875,0.095238095,2.389852146,11.05769231
1986/11/1,249.220001,0.021477191,2740,-0.046956522,2.441179457,10.53846154
1986/12/1,242.169998,-0.028288271,2820,0.02919708,2.37212271,10.84615385
1987/1/1,274.079987,0.131766896,3100,0.09929078,2.684689957,11.92307692
1987/2/1,284.200012,0.036923619,3360,0.083870968,2.783818426,12.92307692
1987/3/1,291.700012,0.026389865,3520,0.047619048,2.857283019,13.53846154
1987/4/1,288.359985,-0.011450212,3380,-0.039772727,2.824566523,13
1987/5/1,290.100006,0.006034197,3410,0.00887574,2.841610514,13.11538462
1987/6/1,304,0.047914491,3500,0.026392962,2.977764834,13.46153846
1987/7/1,318.660004,0.048223697,3960,0.131428571,3.121363664,15.23076923
1987/8/1,329.799988,0.03495884,3990,0.007575758,3.230482916,15.34615385
1987/9/1,321.829987,-0.024166165,4220,0.05764411,3.152414532,16.23076923
1987/10/1,251.789993,-0.217630416,3325,-0.212085308,2.466353246,12.78846154
1987/11/1,230.300003,-0.085348865,2900,-0.127819549,2.255852797,11.15384615
1987/12/1,247.080002,0.07286148,2950,0.017241379,2.42021757,11.34615385
1988/1/1,257.070007,0.040432269,3030,0.027118644,2.518072456,11.65384615
1988/2/1,267.820007,0.041817403,3150,0.03960396,2.623371706,12.11538462
1988/3/1,258.890015,-0.03334326,3425,0.087301587,2.535899943,13.17307692
1988/4/1,261.329987,0.009424744,3775,0.102189781,2.559800149,14.51923077
1988/5/1,262.160004,0.003176126,3925,0.039735099,2.567930397,15.09615385
1988/6/1,273.5,0.043256011,4150,0.057324841,2.679008823,15.96153846
1988/7/1,272.019989,-0.005411375,4375,0.054216867,2.664511702,16.82692308
1988/8/1,261.519989,-0.038600104,4300,-0.017142857,2.561661272,16.53846154
1988/9/1,271.910004,0.039729334,4800,0.11627907,2.663434368,18.46153846
1988/10/1,278.970001,0.025964462,4725,-0.015625,2.732589009,18.17307692
1988/11/1,273.700012,-0.018890881,4700,-0.005291005,2.680967996,18.07692308
1988/12/1,277.720001,0.014687573,4700,0,2.72034491,18.07692308
1989/1/1,297.470001,0.071114792,4925,0.04787234,2.913801672,18.94230769
1989/2/1,288.859985,-0.028944149,4725,-0.040609137,2.829464162,18.17307692
1989/3/1,294.869995,0.020805962,4950,0.047619048,2.888333887,19.03846154
1989/4/1,309.640015,0.050089939,6275,0.267676768,3.033010355,24.13461538
1989/5/1,320.519989,0.035137493,6425,0.023904382,3.139582736,24.71153846
1989/6/1,317.980011,-0.007924554,6575,0.023346304,3.114702943,25.28846154
1989/7/1,346.079987,0.088370259,7500,0.140684411,3.38995005,28.84615385
1989/8/1,351.450012,0.015516716,7975,0.063333333,3.442550943,30.67307692
1989/9/1,349.149994,-0.006544367,8625,0.081504702,3.420021625,33.17307692
1989/10/1,340.359985,-0.025175452,8510,-0.013333333,3.333921034,32.73076923
1989/11/1,345.98999,0.016541325,8250,-0.030552291,3.389068504,31.73076923
1989/12/1,353.399994,0.021416816,8675,0.051515152,3.461651561,33.36538462
1990/1/1,329.079987,-0.068817225,7455,-0.140634006,3.223430306,28.67307692
1990/2/1,331.890015,0.008539043,7225,-0.030851777,3.250955314,27.78846154
1990/3/1,339.940002,0.024254984,6725,-0.069204152,3.329807183,25.86538462
1990/4/1,330.799988,-0.026887139,6700,-0.003717472,3.240278195,25.76923077
1990/5/1,361.230011,0.09198919,7150,0.067164179,3.538348762,27.5
1990/6/1,358.019989,-0.008886366,7200,0.006993007,3.506905701,27.69230769
1990/7/1,356.149994,-0.005223158,7000,-0.027777778,3.488588578,26.92307692
1990/8/1,322.559998,-0.094314184,6400,-0.085714286,3.159565194,24.61538462
1990/9/1,306.049988,-0.051184307,5875,-0.08203125,2.997845039,22.59615385
1990/10/1,304,-0.006698213,5950,0.012765957,2.977764834,22.88461538
1990/11/1,322.220001,0.059934214,6345,0.066386555,3.156234828,24.40384615
1990/12/1,330.220001,0.024827757,6675,0.052009456,3.234597061,25.67307692
1991/1/1,343.929993,0.041517752,7400,0.108614232,3.368890258,28.46153846
1991/2/1,367.070007,0.067281175,8075,0.091216216,3.595553153,31.05769231
1991/3/1,375.220001,0.022202833,8025,-0.00619195,3.675384618,30.86538462
1991/4/1,375.339996,0.000319799,8125,0.012461059,3.676560003,31.25
1991/5/1,389.829987,0.038604975,8750,0.076923077,3.818493508,33.65384615
1991/6/1,371.160004,-0.047892629,8400,-0.04,3.635615815,32.30769231
1991/7/1,387.809998,0.044859343,8525,0.014880952,3.798707152,32.78846154
1991/8/1,395.429993,0.019648784,8775,0.029325513,3.87334713,33.75
1991/9/1,387.859985,-0.019143738,8875,0.011396011,3.799196789,34.13461538
1991/10/1,392.450012,0.011834237,8570,-0.034366197,3.844157384,32.96153846
1991/11/1,375.220001,-0.043903709,8350,-0.025670945,3.675384618,32.11538462
1991/12/1,417.089996,0.111587855,9050,0.083832335,4.085512904,34.80769231
1992/1/1,408.779999,-0.01992375,8850,-0.022099448,4.004114164,34.03846154
1992/2/1,412.700012,0.009589542,8725,-0.014124294,4.042511785,33.55769231
1992/3/1,403.690002,-0.021831863,8950,0.025787966,3.954256223,34.42307692
1992/4/1,414.950012,0.027892715,9125,0.019553073,4.064551163,35.09615385
1992/5/1,415.350006,0.000963957,9100,-0.002739726,4.068469216,35
1992/6/1,408.140015,-0.017358832,9225,0.013736264,3.997845342,35.48076923
1992/7/1,424.209991,0.039373684,9525,0.032520325,4.155255242,36.63461538
1992/8/1,414.029999,-0.02399753,9125,-0.041994751,4.055539379,35.09615385
1992/9/1,417.799988,0.009105594,9400,0.030136986,4.092467474,36.15384615
1992/10/1,418.679993,0.002106283,9475,0.007978723,4.101087368,36.44230769
1992/11/1,431.350006,0.030261807,10725,0.131926121,4.225193681,41.25
1992/12/1,435.709991,0.010107766,11750,0.095571096,4.267900951,45.19230769
1993/1/1,438.779999,0.007045989,12100,0.029787234,4.297972536,46.53846154
1993/2/1,443.380005,0.010483627,12475,0.030991736,4.343030878,47.98076923
1993/3/1,451.670013,0.018697298,12750,0.022044088,4.42423382,49.03846154
1993/4/1,440.190002,-0.02541681,12650,-0.007843137,4.311783909,48.65384615
1993/5/1,450.190002,0.022717463,15000,0.185770751,4.409736699,57.69230769
1993/6/1,450.529999,0.00075523,15400,0.026666667,4.413067065,59.23076923
1993/7/1,448.130005,-0.005327046,16000,0.038961039,4.389558454,61.53846154
1993/8/1,463.559998,0.034431957,17525,0.0953125,4.540699541,67.40384615
1993/9/1,458.929993,-0.00998793,16675,-0.04850214,4.49534735,64.13461538
1993/10/1,467.829987,0.019392923,17250,0.034482759,4.582525275,66.34615385
1993/11/1,461.790009,-0.012910626,17250,0,4.523362005,66.34615385
1993/12/1,466.450012,0.010091173,16325,-0.053623188,4.569008035,62.78846154
1994/1/1,481.609985,0.032500745,16200,-0.007656968,4.717504201,62.30769231
1994/2/1,467.140015,-0.030044996,15450,-0.046296296,4.575766807,59.42307692
1994/3/1,445.769989,-0.045746511,15925,0.030744337,4.366441439,61.25
1994/4/1,450.910004,0.011530644,16100,0.010989011,4.41678932,61.92307692
1994/5/1,456.5,0.012397143,16100,0,4.471544891,61.92307692
1994/6/1,444.269989,-0.026790824,16100,0,4.35174852,61.92307692
1994/7/1,458.26001,0.031489908,19600,0.217391304,4.48878468,75.38461538
1994/8/1,475.48999,0.037598699,19100,-0.025510204,4.657557142,73.46153846
1994/9/1,462.709991,-0.026877535,18950,-0.007853403,4.532373485,72.88461538
1994/10/1,472.350006,0.020833816,20250,0.068601583,4.626800123,77.88461538
1994/11/1,453.690002,-0.039504613,20525,0.013580247,4.444020176,78.94230769
1994/12/1,459.269989,0.012299118,20400,-0.006090134,4.498677706,78.46153846
1995/1/1,470.420013,0.024277711,24600,0.205882353,4.607895302,94.61538462
1995/2/1,487.390015,0.03607415,22275,-0.094512195,4.774121208,85.67307692
1995/3/1,500.709991,0.027329193,22650,0.016835017,4.90459409,87.11538462
1995/4/1,514.710022,0.027960359,21600,-0.046357616,5.0417283,83.07692308
1995/5/1,533.400024,0.036311712,22700,0.050925926,5.224802085,87.30769231
1995/6/1,544.75,0.021278544,23450,0.033039648,5.335978268,90.19230769
1995/7/1,562.059998,0.03177604,24750,0.0554371,5.505534529,95.19230769
1995/8/1,561.880005,-0.000320238,25500,0.03030303,5.503771447,98.07692308
1995/9/1,584.409973,0.040097472,29400,0.152941176,5.724458771,113.0769231
1995/10/1,581.5,-0.004979335,29500,0.003401361,5.695954773,113.4615385
1995/11/1,605.369995,0.041049003,31300,0.061016949,5.929768035,120.3846154
1995/12/1,615.929993,0.017443874,32100,0.025559105,6.033206163,123.4615385
1996/1/1,636.02002,0.032617387,31900,-0.00623053,6.229993583,122.6923077
1996/2/1,640.429993,0.006933702,35500,0.112852665,6.273190499,136.5384615
1996/3/1,645.5,0.007916567,33850,-0.046478873,6.322852633,130.1923077
1996/4/1,654.169983,0.013431422,33500,-0.010339734,6.407777536,128.8461538
1996/5/1,669.119995,0.022853406,30500,-0.089552239,6.554217075,117.3076923
1996/6/1,670.630005,0.00225671,30700,0.006557377,6.569008045,118.0769231
1996/7/1,639.950012,-0.045748017,30900,0.006514658,6.268488952,118.8461538
1996/8/1,651.98999,0.018813935,31300,0.012944984,6.386423896,120.3846154
1996/9/1,687.330017,0.054203328,32150,0.02715655,6.732589322,123.6538462
1996/10/1,705.27002,0.026101003,32400,0.00777605,6.908316658,124.6153846
1996/11/1,757.02002,0.073376152,33200,0.024691358,7.41522235,127.6923077
1996/12/1,740.73999,-0.021505415,34100,0.027108434,7.255754913,131.1538462
1997/1/1,786.159973,0.061317039,34800,0.020527859,7.700656321,133.8461538
1997/2/1,790.820007,0.00592759,35500,0.020114943,7.746302654,136.5384615
1997/3/1,757.119995,-0.04261401,36200,0.01971831,7.416201633,139.2307692
1997/4/1,801.340027,0.058405579,38000,0.049723757,7.849349186,146.1538462
1997/5/1,848.280029,0.058576884,43000,0.131578947,8.309139605,165.3846154
1997/6/1,885.140015,0.043452616,47200,0.097674419,8.670193454,181.5384615
1997/7/1,954.309998,0.07814581,47200,0,9.34773274,181.5384615
1997/8/1,899.469971,-0.057465632,41500,-0.120762712,8.810559372,159.6153846
1997/9/1,947.280029,0.05315359,44800,0.079518072,9.278872232,172.3076923
1997/10/1,914.619995,-0.034477697,43700,-0.024553571,8.958958084,168.0769231
1997/11/1,955.400024,0.044586855,45300,0.036613272,9.358409849,174.2307692
1997/12/1,970.429993,0.015731598,46000,0.015452539,9.505632589,176.9230769
1998/1/1,980.280029,0.010150177,50300,0.093478261,9.60211644,193.4615385
1998/2/1,1049.339966,0.070449193,55800,0.109343936,10.2785778,214.6153846
1998/3/1,1101.75,0.049945714,67200,0.204301075,10.7919487,258.4615385
1998/4/1,1111.75,0.009076469,68600,0.020833333,10.88990149,263.8461538
1998/5/1,1090.819946,-0.018826224,70700,0.030612245,10.68488577,271.9230769
1998/6/1,1133.839966,0.039438241,78305,0.107567185,11.10627888,301.1730769
1998/7/1,1120.670044,-0.011615327,70105,-0.104718728,10.97727581,269.6346154
1998/8/1,957.280029,-0.145796719,60500,-0.137008773,9.376825022,232.6923077
1998/9/1,1017.01001,0.062395516,59600,-0.014876033,9.961896854,229.2307692
1998/10/1,1098.670044,0.080294228,64500,0.082214765,10.76177968,248.0769231
1998/11/1,1163.630005,0.059125996,67900,0.052713178,11.39808062,261.1538462
1998/12/1,1229.22998,0.056375287,70000,0.030927835,12.04065068,269.2307692
1999/1/1,1279.640015,0.041009442,65000,-0.071428571,12.53443104,250
1999/2/1,1238.329956,-0.032282563,71100,0.093846154,12.12978749,273.4615385
1999/3/1,1286.369995,0.038794215,71400,0.004219409,12.60035307,274.6153846
1999/4/1,1335.180054,0.037944028,76400,0.070028011,13.07846122,293.8461538
1999/5/1,1301.839966,-0.024970481,72000,-0.057591623,12.75188576,276.9230769
1999/6/1,1372.709961,0.054438331,68900,-0.043055556,13.44607714,265
1999/7/1,1328.719971,-0.032046092,67805,-0.015892598,13.01518291,260.7884615
1999/8/1,1320.410034,-0.006254092,64200,-0.053167171,12.93378476,246.9230769
1999/9/1,1282.709961,-0.028551792,55000,-0.143302181,12.56450202,211.5384615
1999/10/1,1362.930054,0.062539542,63900,0.161818182,13.35028022,245.7692308
1999/11/1,1388.910034,0.019061859,57300,-0.103286385,13.60476137,220.3846154
1999/12/1,1469.25,0.057843895,56100,-0.020942408,14.39171376,215.7692308
2000/1/1,1394.459961,-0.050903549,51200,-0.087344029,13.65912446,196.9230769
2000/2/1,1366.420044,-0.020108083,44000,-0.140625,13.38446564,169.2307692
2000/3/1,1498.579956,0.096719828,57200,0.3,14.67900886,220
2000/4/1,1452.430054,-0.030795756,59300,0.036713287,14.22695769,228.0769231
2000/5/1,1420.599976,-0.021915051,58600,-0.011804384,13.9151732,225.3846154
2000/6/1,1454.599976,0.02393355,53800,-0.081911263,14.24821268,206.9230769
2000/7/1,1430.829956,-0.016341276,55100,0.024163569,14.01537871,211.9230769
2000/8/1,1517.680054,0.060699105,57700,0.047186933,14.86609965,221.9230769
2000/9/1,1436.51001,-0.053482975,64400,0.116117851,14.07101642,247.6923077
2000/10/1,1429.400024,-0.004949486,63700,-0.010869565,14.00137212,245
2000/11/1,1314.949951,-0.08006861,65900,0.034536892,12.88030172,253.4615385
2000/12/1,1320.280029,0.004053446,71000,0.077389985,12.93251132,273.0769231
2001/1/1,1366.01001,0.034636577,68400,-0.036619718,13.38044925,263.0769231
2001/2/1,1239.939941,-0.092290736,70300,0.027777778,12.14555774,270.3846154
2001/3/1,1160.329956,-0.064204711,65450,-0.068990043,11.36575572,251.7307692
2001/4/1,1249.459961,0.076814362,68000,0.038961039,12.23880899,261.5384615
2001/5/1,1255.819946,0.005090187,68700,0.010294118,12.30110682,264.2307692
2001/6/1,1224.380005,-0.025035389,69400,0.010189229,11.99314382,266.9230769
2001/7/1,1211.22998,-0.01074015,69200,-0.002881844,11.86433566,266.1538462
2001/8/1,1133.579956,-0.064108407,69400,0.002890173,11.10373201,266.9230769
2001/9/1,1040.939941,-0.081723406,70000,0.008645533,10.19629721,269.2307692
2001/10/1,1059.780029,0.018099111,71200,0.017142857,10.38084113,273.8461538
2001/11/1,1139.449951,0.075175904,70000,-0.016853933,11.16123024,269.2307692
2001/12/1,1148.079956,0.007573834,75600,0.08,11.24576355,290.7692308
2002/1/1,1130.199951,-0.015573833,73900,-0.022486772,11.07062391,284.2307692
2002/2/1,1106.72998,-0.020766211,73000,-0.01217862,10.840729,280.7692308
2002/3/1,1147.390015,0.036738894,71100,-0.026027397,11.23900539,273.4615385
