Date,BH,SP
2009-01-30,89502,825.8800048828125
2009-02-27,78600,735.09002685546875
2009-03-31,86700,797.8699951171875
2009-04-30,94000,872.80999755859375
2009-05-29,91600,919.1400146484376
2009-06-30,90000,919.32000732421875
2009-07-31,97000,987.47998046875
2009-08-31,100850,1020.6199951171876
2009-09-30,101000,1057.0799560546875
2009-10-30,99000,1036.18994140625
2009-11-30,100600,1095.6300048828125
2009-12-31,99200,1115.0999755859375
2010-01-29,114600,1073.8699951171875
2010-02-26,119800,1104.489990234375
2010-03-31,121800,1169.4300537109375
2010-04-30,115325,1186.68994140625
2010-05-28,105910,1089.4100341796875
2010-06-30,120000,1030.7099609375
2010-07-30,117000,1101.5999755859375
2010-08-31,118675,1049.3299560546875
2010-09-30,124500,1141.199951171875
2010-10-29,119300,1183.260009765625
2010-11-30,120200,1180.550048828125
2010-12-31,120450,1257.6400146484375
2011-01-31,122425,1286.1199951171875
2011-02-28,131300,1327.219970703125
2011-03-31,125300,1325.8299560546875
2011-04-29,124750,1363.6099853515625
2011-05-31,118775,1345.199951171875
2011-06-30,116105,1320.6400146484375
2011-07-29,111500,1292.280029296875
2011-08-31,109769,1218.8900146484375
2011-09-30,106800,1131.4200439453125
2011-10-31,116950,1253.300048828125
2011-11-30,118500,1246.9599609375
2011-12-30,114755,1257.5999755859375
2012-01-31,117925,1312.4100341796875
2012-02-29,117934,1365.6800537109375
2012-03-30,121900,1408.469970703125
2012-04-30,120800,1397.9100341796875
2012-05-31,118850,1310.3299560546875
2012-06-29,124945,1362.1600341796875
2012-07-31,127445,1379.3199462890625
2012-08-31,126560,1406.5799560546875
2012-09-28,132700,1440.6700439453125
2012-10-31,129505,1412.1600341796875
2012-11-30,131916,1416.1800537109375
2012-12-31,134060,1426.18994140625
2013-01-31,145875,1498.1099853515625
2013-02-28,152600,1514.6800537109375
2013-03-28,156280,1569.18994140625
2013-04-30,159000,1597.5699462890625
2013-05-31,171300,1630.739990234375
2013-06-28,168600,1606.280029296875
2013-07-31,173900,1685.72998046875
2013-08-30,167050,1632.969970703125
2013-09-30,170410,1681.550048828125
2013-10-31,172994,1756.5400390625
2013-11-29,174750,1805.81005859375
2013-12-31,177900,1848.3599853515625
2014-01-31,169511,1782.5899658203125
2014-02-28,173708,1859.449951171875
2014-03-31,187350,1872.3399658203125
2014-04-30,193275,1883.949951171875
2014-05-30,192000,1923.5699462890625
2014-06-30,189900,1960.22998046875
2014-07-31,188124,1930.6700439453125
2014-08-29,205880,2003.3699951171875
2014-09-30,206900,1972.2900390625
2014-10-31,210000,2018.050048828125
2014-11-28,223065,2067.56005859375
2014-12-31,226000,2058.89990234375
2015-01-30,215865,1994.989990234375
2015-02-27,221180,2104.5
2015-03-31,217500,2067.889892578125
2015-04-30,213400,2085.510009765625
2015-05-29,214800,2107.389892578125
2015-06-30,204850,2063.110107421875
2015-07-31,214000,2103.840087890625
2015-08-31,202531,1972.1800537109375
2015-09-30,195240,1920.030029296875
2015-10-30,204596,2079.360107421875
2015-11-30,201360,2080.409912109375
2015-12-31,197800,2043.93994140625
2016-01-29,194360,1940.239990234375
2016-02-29,202555,1932.22998046875
2016-03-31,213450,2059.739990234375
2016-04-29,219000,2065.300048828125
2016-05-31,211695,2096.949951171875
2016-06-30,216975,2098.860107421875
2016-07-29,216000,2173.60009765625
2016-08-31,225760,2170.949951171875
2016-09-30,216220,2168.27001953125
2016-10-31,215700,2126.14990234375
2016-11-30,237000,2198.81005859375
2016-12-30,244121,2238.830078125
2017-01-31,245980,2278.8701171875
2017-02-28,257100,2363.639892578125
2017-03-31,249850,2362.719970703125
2017-04-28,247780,2384.199951171875
2017-05-31,248440,2411.800048828125
2017-06-30,254700,2423.409912109375
2017-07-31,262786,2470.300048828125
2017-08-31,271450,2471.64990234375
2017-09-29,274740,2519.360107421875
2017-10-31,280470,2575.260009765625
2017-11-30,291500,2647.580078125
2017-12-29,297600,2673.610107421875
2018-01-31,323375,2823.81005859375
2018-02-28,310250,2713.830078125
2018-03-29,299100,2640.8701171875
2018-04-30,290650,2648.050048828125
2018-05-31,287200,2705.27001953125
2018-06-29,282040,2718.3701171875
2018-07-31,301550,2816.2900390625
2018-08-31,315800,2901.52001953125
2018-09-28,320000,2913.97998046875
2018-10-31,307705,2711.739990234375
2018-11-30,326000,2760.169921875
2018-12-31,306000,2506.85009765625
2019-01-31,311500,2704.10009765625
2019-02-28,302200,2784.489990234375
2019-03-29,301215,2834.39990234375
2019-04-30,325080,2945.830078125
2019-05-31,297060,2752.06005859375
2019-06-28,318350,2941.760009765625
2019-07-31,308666,2980.3798828125
2019-08-30,303078,2926.4599609375
2019-09-30,311832,2976.739990234375
2019-10-31,318939,3037.56005859375
2019-11-29,330495,3140.97998046875
2019-12-31,339590,3230.780029296875
2020-01-31,335996,3225.52001953125
2020-02-28,309096,2954.219970703125
2020-03-31,272000,2584.590087890625
2020-04-30,281700,2912.429931640625
2020-05-29,278640,3044.31005859375
2020-06-30,267300,3100.2900390625
2020-07-31,293631,3271.1201171875
2020-08-31,327560,3500.31005859375
2020-09-30,320001,3363
2020-10-30,302500,3269.9599609375
2020-11-30,343688,3621.6298828125
2020-12-31,347815,3756.070068359375
2021-01-29,344100,3714.239990234375
2021-02-26,364580,3811.14990234375
2021-03-31,385702,3972.889892578125
2021-04-30,412500,4181.169921875
2021-05-28,436000,4204.10986328125
2021-06-30,418601,4297.5
2021-07-30,418900,4395.259765625
2021-08-31,429900,4522.68017578125
2021-09-30,411379,4307.5400390625
2021-10-29,432902,4605.3798828125
2021-11-30,416876,4567
2021-12-31,450662,4766.18017578125
2022-01-31,469805,4515.5498046875
2022-02-28,476205,4373.93994140625
2022-03-31,528921,4530.41015625
2022-04-29,484340,4131.93017578125
2022-05-31,474050,4132.14990234375
2022-06-30,408950,3785.3798828125
2022-07-29,451700,4130.2900390625
2022-08-31,421308,3955
2022-09-30,406470,3585.6201171875
2022-10-31,445050,3871.97998046875
2022-11-30,480280,4080.110107421875
2022-12-30,468711,3839.5
2023-01-31,473000,4076.60009765625
2023-02-28,463525,3970.14990234375
2023-03-31,465600,4109.31005859375
2023-04-28,502880,4169.47998046875
2023-05-31,488024,4179.830078125
2023-06-30,517810,4450.3798828125
2023-07-31,535400,4588.9599609375
